SN,Speaker,Number of time being a Speakers
1,Sakin Shrestha,6
2,Roshan Bhattarai,5
3,Chandra Maharzan,4
4,Utsav Singh Rathour,4
5,Philip Arthur Moore,3
6,Alina Kakshapati,3
7,Mahadev Subedi,3
8,Abiral Neupane,3
9,Regan Khadgi,3
10,Jimba Tamang,2
11,Raushan Jaiswal,2
12,Santosh Raut,2
13,Amit Bajracharya,2
14,Pratik Lal Shrestha,2
15,Bigyan Ghimire,2
16,Sakar Upadhyaya Khatiwada,2
17,Narayan Koirala,2
18,Sweta Shrestha,2
19,Arjun Singh Thakuri,2
20,Rakesh Lawaju,2
21,Suwash Kunwar,2
22,Digamber Pradhan,2
23,Vishal Basnet,2
24,Avinash Kundaliya,1
25,Pawan Agrawal,1
26,Rabin Shrestha,1
27,Vinay Paudel,1
28,Kris Thapa,1
29,Chandra Prakash Thapa,1
30,Sanjib Shah,1
31,Yalamber B Palungwa,1
32,Saurabh Shukla,1
33,Pankaj Agrawal,1
34,Ujwal Thapa,1
35,Bal K Joshi,1
36,Pravash Karki,1
37,Mohammad Tajim,1
38,Philip A Moore ,1
39,Sunil Rijal,1
40,Dharma Raj Bhusal,1
41,Razan Lamsal,1
42,Sabin Shrestha,1
43,Shova Shrestha,1
44,Ankush Thakur,1
45,Manish Suwal,1
46,Aagat Adhikari,1
47,Yam B Chhetri,1
48,Nilambar Sharma,1
49,Santosh Kunwar,1
50,Bipin Singh,1
51,Bryce Adams,1
52,Rajeeb Banstola,1
53,Sudeep Balchhaudi,1
54,Umesh Chaudhary,1
55,Sunita Rai,1
56,Sushil Adhikari,1
57,Kishor Mahato,1
58,Ashok Maharjan,1
59,Mahangu Weerasinghe,1
60,Amit Singh,1
61,Mishal Rai,1
62,Ritesh Shakya,1
63,Kanchha Kaji Prajapati,1
64,Surendra Shrestha,1
65,Rich Collier,1
66,Abhishek Rijal,1
67,Sunil Bajracharya,1
68,Prithu Singh Thakuri,1
69,Kat Christofer,1
70,Muhammad Adnan,1
71,Sadip Bhattarai,1
72,Harshad Mane,1
73,Ram Chaudhary,1
74,Rohit Bajracharya,1
75,Alok Shrestha,1
76,Siddharth Ashok,1
