WordCamp Year,Speaker,Presentation Topic,Hall name,frequency of speakers
2012,Chandra Maharzan,Making a successful career out of WordPress,Baggikhana Hall,4
2012,Avinash Kundaliya,JavaScript and WordPress,Gaushala Hall,1
2012,Pawan Agrawal,Step by Step Guide on Monetizing “WordPress Blog” (From Cents to DOLLAR$),Baggikhana Hall,1
2012,Bigyan Ghimire,GovtPress,Gaushala Hall,2
2012,Utsav Singh Rathour,"How, why and where to use WordPress multisite",Baggikhana Hall,4
2012,Rabin Shrestha,Data Validation and Sanitization in WordPress,Gaushala Hall,1
2012,Philip Arthur Moore,Approaches to WordPress Theme Development,Baggikhana Hall,3
2012,Vinay Paudel,Optimizing & Speeding Up Your WordPress,Gaushala Hall,1
2012,Sakin Shrestha,Building Secure WordPress Sites,Baggikhana Hall,6
2012,Kris Thapa,WP Ambulance,Gaushala Hall,1
2012,Roshan Bhattarai,Scaling WordPress for Large traffic Sites,Baggikhana Hall,5
2012,Chandra Prakash Thapa,Make a WordPress Multisite in 20 mins,Gaushala Hall,1
2012,Jimba Tamang,Responsive and Retina Design,Baggikhana Hall,2
2012,Sanjib Shah,Internationalizing and Localizing WordPress Theme,Gaushala Hall,1
2012,Philip Arthur Moore,Contributing to WordPress core,Baggikhana Hall,3
2012,Yalamber B Palungwa,WordPress Jobs and Freelance Market Places,Gaushala Hall,1
2013,Chandra Maharzan,The Future of Web Design Experience,Hall 1,4
2013,Saurabh Shukla,WordPress as a distributed Social Network (WordPress as an API),Hall 2,1
2013,Philip Arthur Moore,How To Become A WordPress Theme Developer,Hall 1,3
2013,Pankaj Agrawal,eLearning on WordPress,Hall 2,1
2013,Sakin Shrestha,How To Get Your Theme On Top 15 Popular Themes at WordPress.org,Hall 1,6
2013,Ujwal Thapa,WordPress as a Blogging Platform,Hall 2,1
2013,Bal K Joshi,Payment Gateway & Business Panel Discussion,Hall 1 & Hall 2,1
2013,Pravash Karki,,,1
2013,Mohammad Tajim,,,1
2013,Raushan Jaiswal,WordPress for Beginners,Hall 1,2
2013,Santosh Raut,SEO For WordPress,Hall 2,2
2013,Jimba Tamang,5 reasons why “Parallax Websites” are awesome and how to create them,Hall 1,2
2013,Utsav Singh Rathour,Working with Child Themes and Why,Hall 2,4
2013,Philip A Moore ,WordPress Theme Development Panel Discussion,Hall 1,1
2013,Chandra Maharzan,,,4
2013,Sakin Shrestha,,,6
2013,Roshan Bhattarai,Enhance WordPress Search Using Sphinx,Hall 2,5
2013,Mahadev Subedi,WordPress Security,Hall 2,3
2014,Amit Bajracharya,Web Design Theory,Hall 1,2
2014,Utsav Singh Rathour,Contributing to Community,Hall 2,4
2014,Alina Kakshapati,Build WordPress as a Career,Hall 1,3
2014,Sakin Shrestha,WordPress.org Theme Review Workshop (Contribution Hour),Hall 2,6
2014,Pratik Lal Shrestha,,,2
2014,Sunil Rijal,WordPress for Media (Panel Discussion),Hall 1,1
2014,Dharma Raj Bhusal,,,1
2014,Razan Lamsal,,,1
2014,Bigyan Ghimire,WordPress for Government (Panel Discussion),Hall 1,2
2014,Sabin Shrestha,,,1
2014,Shova Shrestha,,,1
2014,Ankush Thakur,Weaving WordPress for 3 years (Blogging experience),Hall 2,1
2014,Manish Suwal,Using GitHub to organize Projects,Hall 1,1
2014,Santosh Raut,Simple WordPress SEO,Hall 2,2
2014,Aagat Adhikari,Deploy & Maintain WordPress in Cloud & Baremetal,Hall 1,1
2014,Mahadev Subedi,How you can secure your WordPress site against hackers,Hall 2,3
2014,Sakar Upadhyaya Khatiwada,Because Website Speed Matters,Hall 1,2
2014,Narayan Koirala,Practical guide to securing WordPress (Workshop),Hall 2,2
2014,Mahadev Subedi,,,3
2014,Arjun Singh Thakuri,How to start a WordPress Theme/Plugin Business,Hall 1,2
2015,Amit Bajracharya,Website Conversion,Hall 1,2
2015,Pratik Lal Shrestha,Theme Review (Contribution Session),Hall 2,2
2015,Sweta Shrestha,,,2
2015,Suwash Kunwar,,,2
2015,Raushan Jaiswal,10 Useful WordPress Plugins for Bloggers,Hall 1,2
2015,Sakar Upadhyaya Khatiwada,Accessible WordPress(ing),Hall 1,2
2015,Alina Kakshapati,WordPress for Career (Panel Discussion),Hall 1,3
2015,Chandra Maharzan,,,4
2015,Roshan Bhattarai,,,5
2015,Sakin Shrestha,,,6
2015,Yam B Chhetri,,,1
2015,Nilambar Sharma,Theme Development (Contribution Session) ,Hall 2,1
2015,Santosh Kunwar,,,1
2015,Bipin Singh,,,1
2015,Bryce Adams,Building a Freemium Plugin,Hall 1,1
2015,Digamber Pradhan,Woocommerce: An E-Commerce Solution for WordPress,Hall 1,2
2015,Rakesh Lawaju,Plugin Ideas (Contribution Session),Hall 2,2
2015,Abiral Neupane,,,3
2015,Regan Khadgi,,,3
2015,Arjun Singh Thakuri,Transparency report: Sharing the secret of WordPress Themes/Plugins Business,Hall 1,2
2015,Roshan Bhattarai,How did I diagnosed WordPress attacks,Hall 1,5
2015,Rakesh Lawaju,Plugin Development (Contribution Session),Hall 2,2
2015,Abiral Neupane,,,3
2015,Regan Khadgi,,,3
2015,Rajeeb Banstola,Better WordPress Theme Workflow,Hall 1,1
2016,Utsav Singh Rathour,WordCamps : Making the most out of it,Hall 1,4
2016,Sudeep Balchhaudi,Ensuring chances of theme acceptance in wordpress.org,Hall 2,1
2016,Umesh Chaudhary,Multisite – Core Concepts,Hall 1,1
2016,Suwash Kunwar,Administer your WordPress with WP-CLI,Hall 2,2
2016,Sunita Rai,SEO Copywriting for WordPress – How to create a great content?,Hall 1,1
2016,Regan Khadgi,Fundamentals of Premium Plugin Development,Hall 2,3
2016,Sushil Adhikari,WordPress Accessibility: why should you consider this carefully?,Hall 1,1
2016,Kishor Mahato,Workshop in REST API,Hall 2,1
2016,Ashok Maharjan,,,1
2016,Abiral Neupane,,,3
2016,Digamber Pradhan,WordPress Speed and Security,Hall 1,2
2016,Mahangu Weerasinghe,Support First: Standing Behind Your WordPress Products,Hall 1,1
2016,Amit Singh,"Stop coding, start assembling your websites",Hall 1,1
2016,Mishal Rai,Workshop in SAAS,Hall 2,1
2016,Ritesh Shakya,,,1
2016,Kanchha Kaji Prajapati,,,1
2016,Vishal Basnet,Panel Discussion: Kickstarting your career in WordPress,Hall 1,2
2016,Sweta Shrestha,,,2
2016,Surendra Shrestha,,,1
2017,Sakin Shrestha,Let’s make WordPress better together! ,Hall 1,6
2017,Alina Kakshapati,Project Management – How do we do it ! ,Hall 2,3
2017,Rich Collier,Coding With Jetpack ,Hall 1,1
2017,Abhishek Rijal,Smart Development – Happy Clients ,Hall 2,1
2017,Sunil Bajracharya,The Power of Support and Product Ratings ,Hall 1,1
2017,Prithu Singh Thakuri,Quality Content – The Game Maker ,Hall 2,1
2017,Kat Christofer,How WordPress made my dream come true ,Hall 1,1
2017,Muhammad Adnan,Getting started with React ,Hall 2,1
2017,Narayan Koirala,How secure is WordPress ,Hall 1,2
2017,Sadip Bhattarai,Woocommerce – The best alternative ,Hall 2,1
2017,Harshad Mane,Unit Testing for WordPress,Hall 1,1
2017,Ram Chaudhary,Kickstart WP REST with Vue JS (Workshop) ,Hall 2,1
2017,Rohit Bajracharya,,,1
2017,Alok Shrestha,,,1
2017,Vishal Basnet,,,2
2017,Siddharth Ashok,Optimizing WordPress for Speed & Performance ,Hall 1,1
2017,Roshan Bhattarai,Success Stories,Hall 1,5
